127.0.0.1 - - [27/Aug/2023:14:58:12 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/user/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/user/login HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/adcss/Loginvr3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/adjs/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/adjs/loginv3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:17 +0700] "GET /adv/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:19 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "POST /adv/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/view HTTP/1.1" 200 12238
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/adcss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/adcss/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/adjs/apexcharts/apexcharts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/adjs/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/assets/img/logo.png HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/assets/img/messages-1.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/assets/img/messages-2.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/adimgs/profile-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/assets/img/messages-3.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:23 +0700] "GET /adv/adcss/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:24 +0700] "GET /adv/assets/img/favicon.png HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:25 +0700] "GET /adv/user/list HTTP/1.1" 200 16735
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:25 +0700] "GET /adv/user/assets/img/logo.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:25 +0700] "GET /adv/user/assets/img/messages-1.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:25 +0700] "GET /adv/user/assets/img/messages-3.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:25 +0700] "GET /adv/user/assets/img/messages-2.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:26 +0700] "GET /adv/user/assets/img/favicon.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:29 +0700] "GET /adv/user/profile?id=60 HTTP/1.1" 200 19966
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:29 +0700] "GET /adv/user/assets/img/logo.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:29 +0700] "GET /adv/user/assets/img/messages-1.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:29 +0700] "GET /adv/user/assets/img/messages-2.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:29 +0700] "GET /adv/user/assets/img/messages-3.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:29 +0700] "GET /adv/user/assets/img/profile-img.jpg HTTP/1.1" 404 724
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:47 +0700] "POST /adv/user/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:47 +0700] "GET /adv/user/list?err=profiles HTTP/1.1" 200 17218
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:48 +0700] "GET /adv/user/assets/img/messages-1.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:48 +0700] "GET /adv/user/assets/img/logo.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:48 +0700] "GET /adv/user/assets/img/messages-3.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:14:58:48 +0700] "GET /adv/user/assets/img/messages-2.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:01:46 +0700] "GET /adv/user/profile?id=61 HTTP/1.1" 200 20056
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:01:46 +0700] "GET /adv/user/assets/img/logo.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:01:46 +0700] "GET /adv/user/assets/img/messages-1.jpg HTTP/1.1" 404 723
